Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2017-01-01,2017,1,1,†,3,,-2.5,,0.3,,17.7,,0,,0,,0,,0,,8,,,,,
2017-01-02,2017,1,2,†,4.5,,-5,,-0.3,,18.3,,0,,3.4,,0,,3.4,,6,,,,,
2017-01-03,2017,1,3,†,4,,2.5,,3.3,,14.7,,0,,16,,0,,16,,5,,,,,
2017-01-04,2017,1,4,†,1.5,,-7,,-2.8,,20.8,,0,,0,,0,T,0,,2,,,,,
2017-01-05,2017,1,5,†,-6.5,,-9,,-7.8,,25.8,,0,,0,,0,T,0,,2,,,,,
2017-01-06,2017,1,6,†,-7,,-13,,-10,,28,,0,,0,,0,,0,,2,,,,,
2017-01-07,2017,1,7,†,-7.5,,-15,,-11.3,,29.3,,0,,0,,0,T,0,,2,,,,,
2017-01-08,2017,1,8,†,-7,,-12.5,,-9.8,,27.8,,0,,0,,0,T,0,,2,,,,,
2017-01-09,2017,1,9,†,-1.5,,-13,,-7.3,,25.3,,0,,0,,5,,3.8,,2,,,,,
2017-01-10,2017,1,10,†,7.5,,-4.5,,1.5,,16.5,,0,,14.4,,2.8,,18.2,,8,,,,,
2017-01-11,2017,1,11,†,8,,0,,4,,14,,0,,15.8,,0,,15.8,,1,,,,,
2017-01-12,2017,1,12,†,2.5,,0.5,,1.5,,16.5,,0,,1.2,,0,,1.2,,0,T,,,,
2017-01-13,2017,1,13,†,-3,,-6,,-4.5,,22.5,,0,,0,,0,T,0,,0,T,,,,
2017-01-14,2017,1,14,†,-2.5,,-10.5,,-6.5,,24.5,,0,,0,,0,,0,,0,T,,,,
2017-01-15,2017,1,15,†,0.5,,-6,,-2.8,,20.8,,0,,0,,0,,0,,0,T,,,,
2017-01-16,2017,1,16,†,3,,-7,,-2,,20,,0,,3.6,,0,,3.6,,0,T,,,,
2017-01-17,2017,1,17,†,2,,-3,,-0.5,,18.5,,0,,8.4,,0,,8.4,,0,T,,,,
2017-01-18,2017,1,18,†,3.5,,0,,1.8,,16.2,,0,,0,T,0,,0,T,0,,,,,
2017-01-19,2017,1,19,†,2.5,,1.5,,2,,16,,0,,0,,0,,0,,0,,,,,
2017-01-20,2017,1,20,†,3.5,,0.5,,2,,16,,0,,0.2,,0,,0.2,,0,,,,,
2017-01-21,2017,1,21,†,7,,-0.5,,3.3,,14.7,,0,,0,T,0,,0,T,0,,,,,
2017-01-22,2017,1,22,†,5.5,,3,,4.3,,13.7,,0,,0,T,0,,0,T,0,,,,,
2017-01-23,2017,1,23,†,5,,1,,3,,15,,0,,0,,0,,0,,0,,,,,
2017-01-24,2017,1,24,†,3.5,,-1,,1.3,,16.7,,0,,0,,0.4,,0.6,,0,,,,,
2017-01-25,2017,1,25,†,4.5,,0,,2.3,,15.7,,0,,3,,0,,3,,0,,,,,
